Title,Rating,Price,Release Date
Counter-Strike 2,"Very Positive, 87% of the 8,070,433 user reviews for this game are positive.",Free,"21 Aug, 2012"
Destiny 2,"Very Positive, 80% of the 595,362 user reviews for this game are positive.",Free,"1 Oct, 2019"
Steam Deck,N/A,N/A,
Dota 2,"Very Positive, 81% of the 2,246,783 user reviews for this game are positive.",Free,"9 Jul, 2013"
PUBG: BATTLEGROUNDS,"Mixed, 58% of the 2,364,439 user reviews for this game are positive.",Free,"21 Dec, 2017"
Apex Legends™,"Mostly Positive, 77% of the 829,821 user reviews for this game are positive.",Free,"4 Nov, 2020"
ELDEN RING,"Very Positive, 93% of the 606,957 user reviews for this game are positive.",₪249.00,"24 Feb, 2022"
Red Dead Redemption 2,"Very Positive, 91% of the 528,543 user reviews for this game are positive.",₪92.00,"5 Dec, 2019"
Nine Sols,"Very Positive, 90% of the 145 user reviews for this game are positive.",₪99.85,"28 May, 2024"
Rust,"Very Positive, 87% of the 874,491 user reviews for this game are positive.",₪74.97,"8 Feb, 2018"
Ghost of Tsushima DIRECTOR'S CUT,"Very Positive, 89% of the 14,933 user reviews for this game are positive.",₪239.00,"16 May, 2024"
F1® 24,"Mixed, 57% of the 393 user reviews for this game are positive.",₪259.00,"31 May, 2024"
Total War: WARHAMMER III,"Mixed, 66% of the 70,352 user reviews for this game are positive.",₪124.97,"16 Feb, 2022"
MultiVersus,"Very Positive, 84% of the 98,418 user reviews for this game are positive.",Free,"19 Jul, 2022"
Sons Of The Forest,"Very Positive, 86% of the 172,655 user reviews for this game are positive.",₪77.66,"22 Feb, 2024"
Ready or Not,"Very Positive, 88% of the 138,398 user reviews for this game are positive.",₪113.97,"13 Dec, 2023"
Killer Klowns from Outer Space: The Game,"Mostly Positive, 79% of the 386 user reviews for this game are positive.",₪149.95,"4 Jun, 2024"
ELDEN RING Shadow of the Erdtree,N/A,₪159.00,"20 Jun, 2024"
Enshrouded,"Very Positive, 86% of the 44,598 user reviews for this game are positive.",₪87.99,"24 Jan, 2024"
HELLDIVERS™ 2,"Mostly Positive, 73% of the 640,556 user reviews for this game are positive.",₪159.00,"8 Feb, 2024"
GUILTY GEAR -STRIVE-,"Very Positive, 91% of the 34,524 user reviews for this game are positive.",₪74.97,"11 Jun, 2021"
Baldur's Gate 3,"Overwhelmingly Positive, 96% of the 544,604 user reviews for this game are positive.",₪269.00,"3 Aug, 2023"
Lobotomy Corporation | Monster Management Simulation,"Very Positive, 93% of the 30,405 user reviews for this game are positive.",₪27.88,"9 Apr, 2018"
Tom Clancy's Rainbow Six® Siege,"Very Positive, 85% of the 1,091,695 user reviews for this game are positive.",₪31.60,"1 Dec, 2015"
War Thunder,"Mostly Positive, 75% of the 492,107 user reviews for this game are positive., , This product has experienced one or more periods of off-topic review activity.  Based on your preferences, the reviews within these periods have been excluded from this product's Review Score.",Free,"15 Aug, 2013"
Destiny 2: The Final Shape,N/A,₪199.99,"4 Jun, 2024"
Dead by Daylight,"Very Positive, 80% of the 523,460 user reviews for this game are positive.",₪73.95,"14 Jun, 2016"
Project Zomboid,"Very Positive, 94% of the 224,715 user reviews for this game are positive.",₪49.54,"8 Nov, 2013"
Fallout 76,"Mostly Positive, 76% of the 57,658 user reviews for this game are positive.",₪172.00,"14 Apr, 2020"
Planet Coaster,"Very Positive, 91% of the 52,683 user reviews for this game are positive., , This product has experienced one or more periods of off-topic review activity.  Based on your preferences, the reviews within these periods have been excluded from this product's Review Score.",₪8.49,"17 Nov, 2016"
Euro Truck Simulator 2,"Overwhelmingly Positive, 97% of the 566,597 user reviews for this game are positive., , This product has experienced one or more periods of off-topic review activity.  Based on your preferences, the reviews within these periods have been excluded from this product's Review Score.",₪18.48,"12 Oct, 2012"
The Forest,"Overwhelmingly Positive, 95% of the 458,326 user reviews for this game are positive.",₪18.48,"30 Apr, 2018"
EA SPORTS FC™ 24,"Mixed, 56% of the 63,267 user reviews for this game are positive.",₪229.00,"28 Sep, 2023"
FINAL FANTASY XIV Online,"Very Positive, 88% of the 67,733 user reviews for this game are positive.",₪41.00,"18 Feb, 2014"
Grand Theft Auto V,"Very Positive, 87% of the 1,642,986 user reviews for this game are positive.",₪89.59,"13 Apr, 2015"
Days Gone,"Very Positive, 92% of the 56,932 user reviews for this game are positive.",₪49.75,"17 May, 2021"
Terraria,"Overwhelmingly Positive, 97% of the 1,026,272 user reviews for this game are positive.",₪18.47,"16 May, 2011"
Hades II,"Very Positive, 94% of the 36,396 user reviews for this game are positive.",₪110.95,"6 May, 2024"
The Elder Scrolls® Online,"Very Positive, 83% of the 120,599 user reviews for this game are positive.",₪25.50,"22 May, 2017"
V Rising,"Very Positive, 88% of the 79,309 user reviews for this game are positive.",₪131.95,"8 May, 2024"
Warframe,"Very Positive, 87% of the 576,730 user reviews for this game are positive., , This product has experienced one or more periods of off-topic review activity.  Based on your preferences, the reviews within these periods have been excluded from this product's Review Score.",Free,"25 Mar, 2013"
No Man's Sky,"Mostly Positive, 78% of the 226,989 user reviews for this game are positive.",₪112.47,"12 Aug, 2016"
The Elder Scrolls V: Skyrim Special Edition,"Very Positive, 94% of the 160,881 user reviews for this game are positive.",₪30.99,"27 Oct, 2016"
Train Sim World® 4,"Mostly Positive, 78% of the 1,925 user reviews for this game are positive.",₪44.98,"26 Sep, 2023"
Call of Duty®: Modern Warfare® III,"Mostly Negative, 31% of the 9,221 user reviews for this game are positive.",₪349.00,"10 Nov, 2023"
The Planet Crafter,"Overwhelmingly Positive, 96% of the 32,720 user reviews for this game are positive.",₪65.06,"10 Apr, 2024"
Diablo® IV,"Mostly Positive, 70% of the 17,015 user reviews for this game are positive.",₪395.00,"17 Oct, 2023"
NARAKA: BLADEPOINT,"Mostly Positive, 75% of the 224,228 user reviews for this game are positive., , This product has experienced one or more periods of off-topic review activity.  Based on your preferences, the reviews within these periods have been excluded from this product's Review Score.",Free,"11 Aug, 2021"
DAVE THE DIVER,"Overwhelmingly Positive, 97% of the 92,150 user reviews for this game are positive.",₪55.46,"28 Jun, 2023"
American Truck Simulator,"Overwhelmingly Positive, 97% of the 123,681 user reviews for this game are positive., , This product has experienced one or more periods of off-topic review activity.  Based on your preferences, the reviews within these periods have been excluded from this product's Review Score.",₪18.48,"2 Feb, 2016"
